Función,Media_Tiempo,Desviacion_tipica,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Tiempo 6,Tiempo 7,Tiempo 8,Tiempo 9,Tiempo 10,Tiempo 11,Tiempo 12,Tiempo 13,Tiempo 14,Tiempo 15,Tiempo 16,Tiempo 17,Tiempo 18,Tiempo 19,Tiempo 20
cte 1 (para comparar),427.8416082,7.387722504709639,440.935958,412.67229100000003,415.284375,420.442333,431.56145899999996,427.524834,422.992833,421.590916,424.719375,425.073875,436.97799999999995,426.65875,436.25904199999997,436.677708,428.98429100000004,424.687875,428.066208,432.818125,435.52129099999996,427.382625
Identidad (para comparar),425.6464063,4.66527540906851,424.066583,415.771875,416.30025,422.8805,425.297167,423.677542,420.216834,426.394542,425.523375,428.064666,432.14629199999996,424.508333,427.892667,427.11925,432.40141700000004,427.229625,425.94604200000003,432.182542,431.452791,423.855833
Threshold de 2x,454.07470220000005,4.962498550798846,454.12975,444.717084,445.114333,448.145584,458.272625,452.06025,451.09804199999996,454.741,456.735417,449.961666,452.409375,456.274834,466.209833,458.866042,455.754167,453.315375,453.39000000000004,455.08583400000003,458.66533300000003,456.5475
Cosine CosineSquasher,460.5041208999999,7.245915597677234,487.078375,451.42345900000004,455.464833,456.227917,455.487458,455.40670900000003,458.82720900000004,456.98620800000003,456.138666,462.95300000000003,465.553167,460.125583,463.732417,458.637958,464.62,459.72125,458.430458,459.572459,463.84366700000004,459.851625
Indicadora de 0,455.4914479,4.364197635762282,449.009125,449.546958,448.011583,458.01925,449.307291,454.03004200000004,454.0895,455.66412499999996,456.268834,460.541625,456.223166,453.609334,459.083417,463.738125,463.48,455.713708,456.146666,456.0515,457.071,454.223709
Rampa,453.71906675,4.640749678743131,449.749292,446.825417,441.727625,454.678833,453.111042,451.207875,452.407084,454.041083,452.460333,458.240584,452.009209,457.51124999999996,460.52691699999997,455.871125,450.85312500000003,452.364083,453.59804199999996,459.319958,457.14325,460.735208
ReLU,453.9935374500001,5.944484693327386,448.54166699999996,442.09425000000005,446.186125,452.849542,454.781875,455.32,446.821416,447.804125,456.491542,463.077291,457.632542,450.908792,459.976375,458.364333,456.182833,451.431166,458.65650000000005,461.35133299999995,462.265375,449.133667
Sigmoid,467.5820103,4.346090854857132,464.113583,459.747125,462.029375,466.49125000000004,462.39020800000003,462.85362499999997,467.054958,465.95775,467.471542,475.510375,474.1065,464.375083,467.917875,470.18266600000004,469.29483300000004,467.83858299999997,469.042625,473.918875,473.33950000000004,468.003875
Tangente hiperbolica,481.93174990000006,3.6547263441344606,478.884459,479.111625,477.93625000000003,476.64908299999996,478.492667,476.388625,479.97075,482.539292,484.100209,478.83054200000004,483.029666,482.752583,483.13875,487.448416,487.020083,480.78529100000003,482.63470800000005,486.51045799999997,488.71750000000003,483.694041
Valor absoluto,453.27018964999996,5.365676172263971,443.0195,442.048125,448.07566599999996,450.939375,455.647584,452.745667,446.131959,454.515084,461.434292,457.4805,451.33220800000004,454.384208,458.662459,453.719125,452.49841699999996,454.522583,458.27108300000003,462.051,454.760083,453.164875
coseno,471.06102304999996,4.6618602314341215,463.923875,464.612542,468.308042,463.455042,469.662416,469.914,470.52133299999997,469.21837500000004,475.5125,476.708167,469.606917,467.88070799999997,479.442917,476.099208,474.420209,468.28524999999996,475.45291699999996,477.72420900000003,471.719875,468.751959
hardtanh,438.66362499999997,4.199103329477476,429.719917,432.757875,437.759791,435.705709,435.83775,437.706417,438.74287499999997,437.0745,434.630583,447.153125,440.802791,443.91004200000003,441.482084,441.812833,442.113666,436.75183400000003,438.59729200000004,445.116333,438.836333,436.76075
LReLU,454.56908325000006,3.69911639363583,448.859291,450.662583,451.312542,447.503625,452.534625,451.48454100000004,456.7215,455.303083,452.932,452.196917,453.318292,460.094,459.78837500000003,454.902917,460.342834,455.494416,455.539125,459.23562499999997,456.428333,456.727041
