Función,Media_Tiempo,Desviacion_tipica,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Tiempo 6,Tiempo 7,Tiempo 8,Tiempo 9,Tiempo 10,Tiempo 11,Tiempo 12,Tiempo 13,Tiempo 14,Tiempo 15,Tiempo 16,Tiempo 17,Tiempo 18,Tiempo 19,Tiempo 20
cte 1 (para comparar),104.5907105,2.69046941248184,113.083375,99.574208,105.43154100000001,105.913042,106.150667,105.55745900000001,104.651334,108.90675,104.433416,103.117167,102.67770800000001,103.845709,103.801625,103.413083,103.275167,104.031083,104.02425,103.44475,103.08945899999999,103.392417
Identidad (para comparar),104.45488135000001,2.0061336725112047,106.74350000000001,103.518459,107.167,106.768083,106.308792,106.728459,105.74333299999999,107.094042,105.322625,103.38341600000001,103.020709,103.01566700000001,103.77995800000001,104.065417,103.462542,103.2445,104.100292,103.886625,99.258583,102.485625
Threshold de 2x,111.47848939999999,2.647393924148434,115.245291,111.72966600000001,114.117542,117.63787500000001,110.436875,113.300791,111.175125,115.439041,110.535583,111.336875,108.638791,112.69475,108.739041,111.892083,109.28358300000001,109.351292,108.772459,108.357083,112.333292,108.55275
Cosine CosineSquasher,105.76741040000002,1.8117162732456453,106.724,105.679125,109.82325,108.258083,107.885458,105.573125,107.237875,106.33325,105.339542,105.592375,105.68424999999999,101.66975000000001,104.73079200000001,102.360791,105.940833,105.545667,104.975667,105.98875000000001,105.291042,104.714583
Indicadora de 0,111.18091050000001,2.6849037558769138,115.915666,107.98245800000001,114.83241600000001,112.8075,114.604917,108.0445,115.007125,109.74675,109.40754199999999,107.748375,109.369542,112.85375,108.776292,112.11825,109.29325,113.222875,108.76070899999999,112.207667,108.625292,112.293334
Rampa,110.4003876,2.216489718999615,110.468625,110.960667,112.462333,113.781667,109.09295900000001,107.262167,113.407667,109.18225,112.35408299999999,107.349792,112.50012500000001,108.559542,112.1505,107.822084,112.45862500000001,108.707041,111.97550000000001,107.51266700000001,111.785666,108.213792
ReLU,110.37544369999998,1.7616779452585953,110.65154100000001,108.111792,111.90370800000001,110.054417,110.51125,112.210958,110.001042,112.833375,108.792625,111.581583,107.861083,112.547625,108.866583,112.079708,108.04516699999999,112.32075,108.827834,111.28679199999999,107.55595799999999,111.465083
Sigmoid,114.33235429999999,2.7163039514298633,115.744959,111.934208,119.221792,113.23424999999999,118.401834,111.863334,119.803792,113.18925,115.896458,111.821542,115.38825,111.30675,115.894125,112.233125,115.55525,111.534834,115.831083,112.420625,114.54570799999999,110.82591699999999
Tangente hiperbolica,110.76969375000002,2.406047792904785,108.97025000000001,112.48254100000001,111.528583,116.701667,110.291291,113.764084,113.123666,113.258917,108.20100000000001,112.217625,109.370666,112.025917,108.75224999999999,112.639458,109.43820799999999,108.727459,108.655625,108.538667,108.71091700000001,107.995084
Valor absoluto,110.65463125,2.4844656935574863,111.686791,107.493375,114.272667,111.99075,114.145292,109.903042,115.99812499999999,109.469583,112.107,107.563041,111.98825,108.885708,108.555625,108.09037500000001,108.65724999999999,112.723917,108.43725,111.19904199999999,108.14075,111.784792
coseno,127.76466045,2.005504408282378,126.065084,128.85750000000002,128.99508300000002,130.452875,128.34816700000002,131.213291,128.62,129.849834,126.106416,125.24095900000002,124.94574999999999,126.30350000000001,129.915791,125.774292,128.62829200000002,126.565375,130.24025,125.1815,128.07216699999998,125.91708300000002
hardtanh,104.40334370000001,1.3473155322200447,104.75287499999999,104.77225,105.33137500000001,104.4165,106.64383299999999,102.491875,106.565916,100.20049999999999,104.50166700000001,104.400875,104.347125,103.94091599999999,105.016833,104.914542,104.605458,104.287667,105.04125,104.363625,103.998625,103.473167
LReLU,111.08339999999998,2.1082329835875395,111.558083,110.542959,111.83033300000001,109.557375,109.072875,115.274958,113.348959,112.479542,108.096583,112.412584,109.124042,113.86475,108.498291,113.025542,109.294083,112.48070799999999,108.4435,112.409708,108.743667,111.60945799999999
